source,target,weight
add frittata mix,add yeast,2
add cheese,add frittata mix,2
add onion,use herb,2
add onion,cook in pan,3
cook egg,cook in pan,4
add vegetable,eat food,4
add tea,drink tea,7
use almond milk,use baby,2
add protein,use almond milk,2
add egg,eat meat,4
eat diet,eat food,2
eat diet,put salmon on top,2
add to bowl,chop onion,2
add avocado in salad,add to bowl,2
add sauce,chop onion,2
add onion,chop onion,14
add sauce,add topping,4
add onion,add sauce,3
add onion,add topping,4
use berry,use tablespoon of acai powder,3
use avocado,use herb,3
add pepper,use herb,3
add pepper,use avocado,8
add avocado in salad,add pepper,3
add pepper,put on top,2
add avocado in salad,put on top,2
add avocado in salad,use avocado,6
put on top,use avocado,6
add cup of blueberry,add teaspoon of maple syrup,3
add coconut milk,chop artichoke heart,2
chop artichoke heart,use mushroom,2
chop artichoke heart,use vegetable broth,2
add flavor,boil water,4
boil water,set timer for minute,3
set timer for minute,use chickpea,4
add to salad,set timer for minute,2
add to salad,use chickpea,3
put on baking sheet,use chickpea,2
add salt,use chickpea,5
add to salad,put on baking sheet,2
add salt,add to salad,3
add salt,put on baking sheet,2
add to bowl,put cauliflower,3
add ingredient,add to bowl,3
add ingredient,put cauliflower,2
add ingredient,use chickpea,3
add to salad,eat amount,2
add handful of baby spinach,add to salad,2
add pesto on top,punch circle,2
add pesto on top,add to bowl,2
add teaspoon of dill,add to bowl,2
add water,cook vegetable,2
add tempeh,cook on side,3
add tempeh,cut pool noodle around container,3
add protein,add tempeh,3
add soy ginger sauce,add tempeh,3
add onion,use half of avocado,4
add cup of oats,put oat,2
add cup of oats,add salt,2
add cup of oats,add thyme,2
add salt,add thyme,5
add cup of oats,add third of cup,2
add cup of oats,use heat,2
add lemon juice,use herb,3
add olive oil,use herb,3
add cup of oats,use teaspoon,3
add olive oil,use teaspoon,2
use teaspoon,use yogurt,4
use dairy yogurt,use teaspoon,2
add sweetener,use teaspoon,7
use molasse,use teaspoon,2
use dairy yogurt,use yogurt,5
add sweetener,use yogurt,8
use molasse,use yogurt,2
add sweetener,use dairy yogurt,2
add sweetener,use molasse,2
add teaspoon of maple syrup,add topping,3
add cup of blueberry,use avocado,5
add topping,use avocado,4
add topping,use yogurt,6
add salt,add topping,2
use avocado,use yogurt,8
add salt,use oil,7
add lemon juice,add salt,2
add lemon juice,use oil,2
use antioxidant serum in daytime,use moisturizer,2
add drop,use moisturizer,2
read book,read review,9
use almond milk,use milk,22
chop veggie,put in refrigerator,2
add salt,chop veggie,3
chop veggie,cook onion in pepper,4
add salt,put in oven,4
cook onion in pepper,put in oven,2
add carrot,add spinach,2
add spinach,chop cucumber,3
add carrot,use avocado,2
add carrot,chop cucumber,4
add carrot,use lime,2
chop cucumber,use avocado,5
use avocado,use lime,3
squeeze muscle,use avocado,2
add green,use avocado,3
put lid,use avocado,3
add water,use avocado,2
add water,put lid,8
put lid,use chicken broth,2
add water,use chicken broth,2
add water,use heat,2
add lemon juice,use lemon,3
add broth,add millet,2
add broth,add third of cup,2
add broth,use herb,2
roast asparagus,use herb,2
cook onion,rinse lentil,9
add broth,use chicken broth,3
use corn,use tortilla,2
put cream on top,use tortilla,3
add coconut milk,put cream on top,2
add onion,cook vegetable,4
add onion,cut in half,3
add onion,add pepper,3
eat food,prepare meal,2
use mushroom,use sunflower seed,2
cook for minute,use mushroom,2
cook for minute,use avocado oil,3
add flavor,add tomato,3
add flavor,use tablespoon,3
add tomato,use tablespoon,3
add date,add sweetener,2
add sweetener,use vanilla extract,5
add chocolate chia pudding to bowl,use whisk,2
use milk,use whisk,3
add date,use whisk,2
add onto baking dish,use vanilla extract,2
use almond butter,use vanilla extract,3
add peanut butter,use vanilla extract,2
add onto baking dish,add peanut butter,2
add peanut butter,stir for minute,2
add cocoa powder,use almond butter,2
add peanut butter,use almond butter,9
add cocoa powder,add peanut butter,3
add peanut butter,wear makeup,2
add protein,use water,2
add handful of baby spinach,add protein,3
add vegetable,chop onion,3
chop onion,cut in half,2
add tsp of cooking oil,chop onion,2
add olive oil,add tsp of cooking oil,6
add olive oil,add tablespoon of balsamic vinegar,2
boil for minute,use water,2
boil for minute,boil water,3
cook pasta,use water,2
add flavor,cook pasta,3
cook pasta,cut into piece,2
boil water,cook pasta,6
use chicken broth,use water,2
boil water,use chicken broth,2
add tempeh,use water,2
boil water,use water,3
add flavor,cut into piece,5
add flavor,add tempeh,2
add tempeh,cut into piece,2
boil water,cut into piece,2
add tempeh,boil water,4
add broth,add tempeh,3
add broth,boil water,2
add olive oil,add tempeh,2
add tempeh,use oregano,2
add seasoning,add tempeh,2
add olive oil,put in oven,7
add seasoning,put in oven,3
put in oven,set timer,2
add veggie,put in oven,3
add pesto on top,add tempeh,2
add tempeh,put in container,2
add tempeh,cook in pan,2
add beef,add sauce,3
add tempeh,add vegetable,3
add water,combine oats flax seed meal,3
add handful of baby spinach,rinse lentil,2
add handful of baby spinach,eat food,2
cut top of oatmeal container,eat food,3
add bean,add sauce,2
add pepper,add vegetable,4
add tomato,add vegetable,5
add pepper,add tomato,3
add sauce,massage kale,2
add pepper,add salt,7
add acorn,add salt,2
add tumeric,use teaspoon,2
add salt,add vegetable,6
add cup of water,add salt,2
add cup of water,add vegetable,4
add vegetable,use blender,2
add cup of water,roast squash,2
add fat,use blender,2
add coconut milk,add fat,2
chop onion,use mushroom,9
add garlic,chop onion,4
add salt,chop onion,3
add oil,add onion,5
add garlic,add oil,4
add onion,use mushroom,5
add garlic,add onion,6
add onion,add salt,3
add garlic,use mushroom,2
add garlic,add salt,11
add salt,cook pasta,2
add olive oil,use blender,2
add chicken,roast squash,2
put of mom,roast squash,2
add of cup,roast squash,2
add of cup,add sauce,2
eat salad,use paper towel,4
add oil,put in refrigerator,5
put in smoothie,use milk,5
add green powder,put in smoothie,3
add green powder,use milk,2
add green powder,add to good,2
add green,add green powder,3
add chili powder,add cumin,2
add chili powder,add sage,2
add avocado in salad,eat dinner,2
read review,use on face,2
massage into skin,use cotton pad,2
add drop,massage into skin,2
eat in day,put in smoothie,2
set goal,work way,3
add rosemary,chop onion,4
chop onion,cook vegetable,2
cook vegetable,put in oven,3
put in oven,set timer for minute,5
add flavor,add teaspoon of onion powder,2
add to pot,add water,6
add broth,add water,2
add teaspoon of onion powder,add water,2
add garlic,add water,2
add broth,add garlic,2
add garlic,add teaspoon of onion powder,2
add garlic,add spice,7
add at end,add garlic,2
add garlic,add pepper,5
add garlic,add turmeric,2
add pepper,add spice,3
add salt,add spice,4
add salt,add turmeric,3
add salt,put lid,7
add coconut milk,put lid,3
add cup of water,use cup,2
put cup,use cup,4
put in refrigerator,use cup,2
put cup,put in refrigerator,2
add ice cube,put cup,2
add ice cube,put in refrigerator,2
drop son at school,meet with trainer,2
chop bell pepper,chop cucumber,3
use hand,use water,3
put in toaster,use water,2
put in toaster,use hand,2
put in toaster,rinse lentil,2
mix with hand,use color,3
add coconut amino,add flavor,2
add flavor,add veggie,2
add of cabbage,add veggie,2
put book,use for time,2
eat from ground,fight inflammation,2
add to salad,add yeast,2
add cheese,add to salad,2
add to salad,use tofu,2
add sauce,use tofu,3
eat in day,read review,2
add leave to meal,eat in day,5
combine food group in effort,eat in day,4
eat food,eat fruit,2
add bean,put cauliflower,2
add bean,cook for minute,6
cook for minute,put cauliflower,5
pack lunch,pack snack,6
add to pot,add veggie,3
add veggie,use teaspoon,2
add spice,add veggie,2
add spice,add water,3
add salt,add water,4
add green,massage kale,3
put on top,use sunflower seed,2
put on top,slice zucchini,2
add water,use mushroom,5
add water,slice zucchini,3
slice zucchini,use mushroom,2
put in oven,use oil,4
add water,use oil,9
add ingredient,add water,7
add ingredient,use oil,5
add cup of blueberry,add ingredient,3
add cup of blueberry,eat amount,2
add broccoli,eat dinner,5
add broccoli,use soy sauce,2
cook for minute,put in oven,5
add barbecue,put in oven,2
add broccoli,cook for minute,8
add barbecue,cook for minute,3
add barbecue,add broccoli,2
add vegetable,eat vegetable,11
add salt,use bread,2
add salt,use hummus,3
use bread,use hummus,6
use avocado,use hummus,5
add vegetable,chop bell pepper,2
chop bell pepper,use lemon,3
add flavor,chop bell pepper,5
add tablespoon of tahini,use lemon,3
add flavor,use lemon,3
add flavor,chop artichoke heart,2
chop artichoke heart,eat at home,2
chop artichoke heart,use hummus,2
add olive oil,chop artichoke heart,4
put marinara sauce,use veggie burger,2
put marinara sauce,put on top,2
add oil into laundry detergent,use for pizza,2
add toffee topping on top,use for pizza,2
add tablespoon of apple cider vinegar,use for pizza,2
add tablespoon of apple cider vinegar,add water,2
add quarter cup of water,add water,2
put in oven,roll dough,3
add lemon juice,use blender,3
add lemon juice,add sauce,6
add sauce,use blender,5
add sauce,add tomato,3
add tomato,massage kale,4
cut in half,massage kale,2
massage kale,use for pizza,2
add cup of blueberry,eat breakfast,2
add broccoli,put in smoothie,2
add cup of quinoa,use almond milk,3
pack snack,stick to noodle,2
add cup of quinoa,pack snack,2
add cup of blueberry,use almond milk,5
eat diet,eat fruit,2
eat vegetable,read book,2
add egg,eat dairy,3
eat amount,eat food,6
cook on side,eat food,2
eat meat,put steak knife,3
cut top of oatmeal container,put in smoothie,2
add cup of oats,eat in day,6
add cup of oats,add teaspoon of cacao powder,2
use calendar,use planner,3
read book,write word,2
add flavor,add potato,2
add potato,use in burrito bowl,3
cube phoo,stir fry,2
add spice,cube phoo,2
cube phoo,use tofu,2
add bean,add seasoning,2
add bean,rinse bean,14
add to bowl,toss system,2
add oil,eat salad,2
add salt,eat salad,2
cut pool noodle around container,drizzle tablespoon of miso sesame dressing,2
add salt,add to bowl,2
add salt,add sweetness,2
add salt,add sugar,3
add on top,add water,3
add tomato,add water,4
add water,chop bell pepper,4
add olive oil,chop bell pepper,2
add tomato,chop bell pepper,3
use brand,use soy milk,2
build muscle,wear to gym,2
add bit,add cup of water,2
add cup of water,use nut butter,2
add peanut butter,use nut butter,4
add cinnamon,add peanut butter,10
add cinnamon,use nut butter,5
add tomato,use oil,2
add tomato,put lid,7
put in skillet,use spoon,2
add spice,use oil,3
put lid,use oil,2
add spice,put lid,3
add yeast,use basil,3
add ingredient,add yeast,2
add ingredient,use avocado,4
add to bowl,put lid,3
add cup of water,add protein,2
add protein,use banana,5
add water,use blender,2
drink caffeine,drink tea,2
drink caffeine,inject with hormone,2
drink tea,inject with hormone,2
add kappa,add to salad,3
pull textbook,read book,3
add topping,put in oven,2
eat salad,use veggie burger,2
use as dip,use veggie burger,2
add protein,eat salad,2
eat diet,eat in day,3
add of cup,use teaspoon,2
use blender,use tofu,2
use blender,use teaspoon,2
add tumeric,pour of batter,2
pour of batter,use butter,2
drizzle knife for treat,pour of batter,2
pour of batter,use parsley,2
add cumin,use bacon,2
put in oven,use bacon,5
push finger,put in oven,2
use bacon,use brand,4
push finger,use bacon,4
use bacon,use salsa,2
add broccoli,add to pan,3
add coconut milk,add to pan,2
add broccoli,add coconut milk,2
add coconut milk,add pepper flake,2
add coconut milk,stir fry,2
throw in bag,use bag,3
put rubbish into shopping bag,use bag,2
cut stem,use bag,3
cut stem,put in refrigerator,2
put in refrigerator,use bag,5
add green,use paper towel,2
add ginger,add green,2
add ginger,use paper towel,2
add ginger,use knife,4
add ginger,cut door,3
add ginger,remove skin,3
cut door,use knife,3
cut door,remove skin,2
eat fiber in evening,eat in day,2
eat food,use vitamin c serum,2
put in skillet,use coffee,2
add of nutrient,put in skillet,2
close book,use iron,2
use iron,use over body,2
eat diet,use iron,2
add teaspoon of maple syrup,use teaspoon,4
add teaspoon of maple syrup,use blender,2
add potato,bake potato in oven,10
add cumin,add potato,2
add cumin,add spice,2
add spice,use corn,3
add cilantro,use corn,4
put bag in skillet,use hummus,2
add mayonnaise,put bag in skillet,2
add mayonnaise,use hummus,2
add seasoning,use tofu,2
add to salad,put in oven,4
use recipe,use tofu,4
add to salad,use recipe,3
add potato,stir fry,4
add potato,use oil,8
stir fry,use oil,2
drink throughout week,hold phone,2
stack pan,use cooking oil,2
use almond milk,use hummus,2
chop onion,cook in pan,3
add onion,break surface of water,2
add onion,add potato,6
add ingredient,blend in blender,2
add broccoli,add sauce,6
add broccoli,use blender,2
add broccoli,cook on side,3
add broccoli,stick to noodle,2
add sauce,cook on side,4
add sauce,stick to noodle,5
add teaspoon of maple syrup,put on top,4
eat breakfast,put on top,2
eat breakfast,eat fruit,2
add cup of quinoa,pack with fiber,2
add coconut oil,add cup of quinoa,2
cook pasta,eat fiber in evening,2
cook pasta,use bread,2
add ingredient,use bread,2
chop potato,remove from oven,3
add vinegar,use tablespoon,5
add vinegar,use blender,2
add veggie,use can,2
add veggie,use corn,2
add veggie,chop rotisserie chicken,2
chop rotisserie chicken,use corn,3
chop rotisserie chicken,use tortilla,4
add apple,use fruit,4
cut in half,cut recipe in half,3
add potato,cut recipe in half,4
add potato,put in microwave,3
chop onion,put lid,2
chop bell pepper,put lid,2
chop bell pepper,chop onion,8
add chili powder,chop onion,2
add onion,chop bell pepper,8
add chili powder,chop bell pepper,2
add chili powder,add water,2
add bean,add water,2
add of cayenne pepper,add water,2
chop potato,dice stalk of celery,4
add water,use purpose flour,2
use milk,use purpose flour,2
add water,use milk,2
add water,use almond,2
use almond,use milk,2
add flavor,use milk,2
add to list,write list,3
add banana to blender,drink in background,2
add banana to blender,drink water,4
drink in background,drink water,5
eat in day,use teaspoon,3
add water,use teaspoon,5
use recipe,use vegetable broth,2
combine food group in effort,eat lunch,2
put in container,use half,2
add peanut butter,scrape side,4
add pancake to bowl,use soy milk,2
add pepper,add to soup,3
add to soup,put matcha,2
chop food processor by hand,put matcha,2
cut top of oatmeal container,put matcha,2
drink in background,put matcha,2
add vegetable,use vegetable broth,3
add broth,add vegetable,2
add ingredient,add vegetable,3
add potato,add spice,4
add to soup,use blender,2
add cup of oats,use recipe,2
add cup of oats,use coconut sugar,5
add cinnamon,put granola,2
add cinnamon,add spice,3
add coconut oil,use almond butter,3
add coconut oil,use cup,2
add coconut oil,add water,2
add water,use cup,4
add water,put on baking sheet,2
add water,put in oven,4
mix in bowl,put in oven,4
put in oven,put on baking sheet,8
add vegetable,cook vegetable,5
add green,add vegetable,3
roast squash,squash beetroot for dinner meal,3
add vegetable,squash beetroot for dinner meal,6
add quarter cup of water,add yeast,2
add yeast,squeeze muscle,2
add cup of oats,cut top of oatmeal container,6
eat food,eat in day,29
combine oats flax seed meal,put in smoothie,3
add of nutrient,put in smoothie,2
combine oats flax seed meal,use packet as egg replacement,2
add pancake to bowl,use blender,3
add pancake to bowl,sprinkle on top,2
add pancake to bowl,combine oats flax seed meal,2
combine oats flax seed meal,use blender,2
combine oats flax seed meal,sprinkle on top,2
eat food,read nutrition label,3
eat food,pack with antioxidant,2
add to bowl,use berry,2
cut top of oatmeal container,use berry,2
add to meal,use berry,2
add to meal,pack lunch,2
rinse bean,use hummus,2
work for college,work way,2
use sheep mask from beauty supply store,work way,2
chop onion,use half,2
add potato,cut into piece,3
bake potato in oven,cut into piece,3
cook for minute,cut into piece,2
add potato,cook for minute,4
add sea salt,use avocado,3
add yeast,cook onion in pepper,2
add bean,cook onion in pepper,2
close quesadilla,cook onion in pepper,3
close quesadilla,write spot,3
close quesadilla,cover of toast,3
close quesadilla,cut into wedge,3
close quesadilla,use herb,3
add sauce,use mushroom,3
add sauce,use bread,2
use bread,use mushroom,2
use bread,use cooking oil,4
drink coffee,drink glass of water,3
add potato,add to pot,2
add potato,put on stove,2
add garlic,add potato,4
add potato,put in oven,9
add garlic,add to pot,5
add to pot,put in oven,3
add garlic,put on stove,3
put in oven,put on stove,3
add salt,put on stove,3
add garlic,put in oven,6
use butter,use vegetable broth,2
add salt,use vegetable broth,2
put cauliflower,use butter,4
add salt,use butter,2
add teaspoon of maple syrup,add teaspoon of mustard powder,4
add flavor,add teaspoon of maple syrup,8
add flavor,add salt,2
add cup of rice,add flavor,5
add salt,cook rice,3
add cup of rice,add salt,4
add cup of rice,cook rice,10
add apple,add cup of rice,2
add dash,add tablespoon of tahini,2
add dressing,put in refrigerator,3
put in refrigerator,roast squash,2
massage kale,roast squash,2
add teaspoon of maple syrup,massage kale,3
add teaspoon of maple syrup,squash beetroot for dinner meal,2
massage kale,squash beetroot for dinner meal,9
put on top,squash beetroot for dinner meal,2
add garlic,roast squash,3
add garlic,put in refrigerator,2
add garlic,blend in blender,3
add garlic,boil pasta,3
boil pasta,use basil,2
add splash of water,boil pasta,2
blend in blender,boil pasta,2
add yeast,boil pasta,2
add boiling water,add spinach,3
use mushroom,use soy milk,3
use mushroom,use purpose flour,3
use cup,use half,2
add peanut butter,add protein,2
add peanut butter,use soy sauce,2
add tomato,use can,2
add tomato,add yeast,4
eat amount,pack snack,2
eat calorie in day,pack snack,2
add chicken,chop onion,5
add bean,use salsa,5
add bean,cook on stove,6
chop bell pepper,cook on stove,3
add to pot,chop bell pepper,2
add to pot,chase dream,4
cook on side,cut in half,2
cook on side,use ingredient,2
stack pan,use bread,3
add cup of oats,eat breakfast,5
eat in day,eat throughout week,3
add lemon juice,eat salad,5
add bean,add ingredient,3
add ingredient,use soy sauce,3
add teaspoon of mustard powder,sketch castle as flower,2
add teaspoon of mustard powder,use teaspoon,2
add teaspoon of mustard powder,use tablespoon,2
add sweetness,use teaspoon,2
add teaspoon of maple syrup,use tablespoon,4
add sweetness,add teaspoon of maple syrup,2
add sweetness,use tablespoon,2
add garlic,use tablespoon,2
add dressing,chop rotisserie chicken,2
add dressing,add to salad,3
chop romaine lettuce,chop rotisserie chicken,2
add chicken,chop rotisserie chicken,8
add to salad,chop romaine lettuce,4
add chicken,chop romaine lettuce,2
add of favorite,chop romaine lettuce,2
add of cabbage,chop romaine lettuce,2
add chicken,add of cabbage,2
add of cabbage,use avocado,2
add of cabbage,grill chicken with herb mix,2
add fat,use avocado,8
grill chicken with herb mix,use avocado,2
mix flavor of sauerkraut,use avocado,3
add fat,grill chicken with herb mix,3
add flavor,use avocado,2
add flavor,mix flavor of sauerkraut,2
add garlic,add vinegar,4
add salt,add veggie,5
add potato,use chickpea,3
add potato,use tablespoon,2
